2025-01-13 15:07:04,511 INFO    MainThread:725785 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2025-01-13 15:07:04,512 INFO    MainThread:725785 [wandb_setup.py:_flush():68] Configure stats pid to 725785
2025-01-13 15:07:04,512 INFO    MainThread:725785 [wandb_setup.py:_flush():68] Loading settings from /home2/y2021/k2110261/.config/wandb/settings
2025-01-13 15:07:04,512 INFO    MainThread:725785 [wandb_setup.py:_flush():68] Loading settings from /data/student/k2110261/Multi-iTransformer/wandb/settings
2025-01-13 15:07:04,512 INFO    MainThread:725785 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-01-13 15:07:04,512 INFO    MainThread:725785 [wandb_init.py:_log_setup():528] Logging user logs to /data/student/k2110261/Multi-iTransformer/wandb/run-20250113_150704-qcd0drwq/logs/debug.log
2025-01-13 15:07:04,512 INFO    MainThread:725785 [wandb_init.py:_log_setup():529] Logging internal logs to /data/student/k2110261/Multi-iTransformer/wandb/run-20250113_150704-qcd0drwq/logs/debug-internal.log
2025-01-13 15:07:04,512 INFO    MainThread:725785 [wandb_init.py:init():644] calling init triggers
2025-01-13 15:07:04,512 INFO    MainThread:725785 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {}
2025-01-13 15:07:04,512 INFO    MainThread:725785 [wandb_init.py:init():680] starting backend
2025-01-13 15:07:04,512 INFO    MainThread:725785 [wandb_init.py:init():684] sending inform_init request
2025-01-13 15:07:04,514 INFO    MainThread:725785 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-01-13 15:07:04,514 INFO    MainThread:725785 [wandb_init.py:init():697] backend started and connected
2025-01-13 15:07:04,515 INFO    MainThread:725785 [wandb_init.py:init():790] updated telemetry
2025-01-13 15:07:04,527 INFO    MainThread:725785 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2025-01-13 15:07:04,863 INFO    MainThread:725785 [wandb_init.py:init():874] starting run threads in backend
2025-01-13 15:07:04,982 INFO    MainThread:725785 [wandb_run.py:_console_start():2374] atexit reg
2025-01-13 15:07:04,982 INFO    MainThread:725785 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2025-01-13 15:07:04,982 INFO    MainThread:725785 [wandb_run.py:_redirect():2289] Wrapping output streams.
2025-01-13 15:07:04,982 INFO    MainThread:725785 [wandb_run.py:_redirect():2314] Redirects installed.
2025-01-13 15:07:04,983 INFO    MainThread:725785 [wandb_init.py:init():916] run started, returning control to user process
2025-01-13 15:07:15,248 INFO    MainThread:725785 [wandb_run.py:_finish():2100] finishing run raika-koki/AAPL-stock-price-prediction-by-iTransformer(single)/qcd0drwq
2025-01-13 15:07:15,248 INFO    MainThread:725785 [wandb_run.py:_atexit_cleanup():2339] got exitcode: 0
2025-01-13 15:07:15,249 INFO    MainThread:725785 [wandb_run.py:_restore():2321] restore
2025-01-13 15:07:15,249 INFO    MainThread:725785 [wandb_run.py:_restore():2327] restore done
2025-01-13 15:07:17,119 INFO    MainThread:725785 [wandb_run.py:_footer_history_summary_info():3892] rendering history
2025-01-13 15:07:17,121 INFO    MainThread:725785 [wandb_run.py:_footer_history_summary_info():3924] rendering summary
2025-01-13 15:07:17,132 INFO    MainThread:725785 [wandb_run.py:_footer_sync_info():3853] logging synced files
